location,topics
Austria,"['git', 'php', 'mysql', 'linux', 'java', 'c#']"
"Prague, Czech Republic","['c#', '.net', 'async-await', 'task-parallel-library', 'asynchronous', '.net-core']"
United Kingdom,"['sql-server', 'c#', 'sql', 'tsql', '.net', 'sql-server-2008']"
,"['python', 'c++', 'c', 'bash', 'linux', 'pandas']"
"Gaithersburg, MD","['java', 'android', 'javascript', 'mysql', 'arrays', 'algorithm']"
"Mayfair, London","['c++', 'c', 'java', 'c++11', 'pointers', 'arrays']"
Australia,"['c', 'linux', 'c++', 'pthreads', 'linux-kernel', 'sockets']"
United Kingdom,"['javascript', 'jquery', 'php', 'html', 'dom', 'arrays']"
"Madrid, Spain","['java', 'python', 'scheme', 'string', 'list', 'racket']"
Netherlands,"['sql', 'sql-server', 'mysql', 'tsql', 'sql-server-2008', 'sql-server-2005']"
Tunisia,"['css', 'html', 'javascript', 'flexbox', 'css-grid', 'css-animations']"
"Dublin, Ireland","['c++', 'c++11', 'c', 'pointers', 'arrays', 'c++17']"
earth,"['python', 'pyqt5', 'pyqt', 'qt', 'python-3.x', 'c++']"
Peru,"['bash', 'c', 'c++', 'parsing', 'algorithm', 'bison']"
"Dublin, Ireland","['c#', 'linq', '.net', 'entity-framework', 'winforms', 'unit-testing']"
"Chennai, India","['python', 'javascript', 'list', 'string', 'python-2.7', 'dictionary']"
,"['javascript', 'arrays', 'php', 'git', 'ruby-on-rails', 'ruby']"
Germany,"['javascript', 'jquery', 'html', 'arrays', 'css', 'ajax']"
"Waterloo, Canada","['python', '.net', 'c#', 'string', 'unit-testing', 'fakeiteasy']"
"Houston, Texas, USA","['django', 'asp.net-mvc', 'c#', 'asp.net-core', 'asp.net', 'razor']"
United States,"['css', 'html', 'javascript', 'jquery', 'twitter-bootstrap', 'css-selectors']"
Trinidad and Tobago,"['c#', 'asp.net-core', 'unit-testing', '.net-core', 'moq', 'dependency-injection']"
"Denver, CO, USA","['oracle', 'sql', 'plsql', 'oracle11g', 'oracle10g', 'database']"
Czech Republic,"['bash', 'perl', 'shell', 'linux', 'sed', 'unix']"
"Berlin, Germany","['c++', 'c++11', 'c#', '.net', 'pointers', 'c']"
Brazil,"['swift', 'ios', 'macos', 'string', 'xcode', 'date']"
"Woodinville, WA, USA","['timezone', 'datetime', 'javascript', 'c#', 'momentjs', '.net']"
"Dublin, Ireland","['ruby', 'ruby-on-rails', 'mongodb', 'javascript', 'mysql', 'ruby-on-rails-3']"
"Sydney, Australia","['amazon-web-services', 'amazon-s3', 'amazon-ec2', 'aws-lambda', 'python', 'aws-cli']"
"Eau Claire, WI, USA","['typescript', 'types', 'javascript', 'generics', 'typescript-generics', 'typescript-typings']"
"Copenhagen, Denmark","['c#', 'dependency-injection', 'unit-testing', 'inversion-of-control', '.net', 'f#']"
United Kingdom,"['css', 'html', 'internet-explorer', 'javascript', 'jquery', 'css-float']"
,"['python', 'performance', 'java', 'javascript', 'algorithm', 'c']"
"Wachtberg, Germany","['jqgrid', 'jquery', 'javascript', 'c#', 'json', 'asp.net-mvc']"
"Vaud, Switzerland","['c++', 'c++11', 'vector', 'stl', 'c', 'arrays']"
